region	sector	indout
BE	Other services (93)	4059.48102663
BE	Private households with employed persons (95)	776.694165696
BE	Extra-territorial organizations and bodies	0
BG	Paddy rice	29.7868649506
BG	Wheat	976.169432691
BG	Cereal grains nec	255.270391705
BG	Vegetables, fruit, nuts	612.163512324
BG	Oil seeds	415.696670846
BG	Sugar cane, sugar beet	2.43468423434
BG	Plant-based fibers	0.492640233717
BG	Crops nec	451.870134451
BG	Cattle	23.2157112703
BG	Pigs	270.560898183
BG	Poultry	482.004437401
BG	Meat animals nec	350.500596264
BG	Animal products nec	29.6779381524
BG	Raw milk	646.817644301
BG	Wool, silk-worm cocoons	3.55989145564
BG	Manure (conventional treatment)	0
BG	Manure (biogas treatment)	0
BG	Products of forestry, logging and related services (02)	437.560420415
BG	Fish and other fishing products; services incidental of fishing (05)	40.0626772691
BG	Anthracite	74.901473556
BG	Coking Coal	0.601942365424
BG	Other Bituminous Coal	16.5199230155
BG	Sub-Bituminous Coal	0
BG	Patent Fuel	0.000664499614019
BG	Lignite/Brown Coal	440.119503748
BG	BKB/Peat Briquettes	132.645545282
BG	Peat	0.460724688519
BG	Crude petroleum and services related to crude oil extraction, excluding surveying	74.4381856944
BG	Natural gas and services related to natural gas extraction, excluding surveying	25.7933464713
BG	Natural Gas Liquids	0.0147440736378
BG	Other Hydrocarbons	23.7293790004
BG	Uranium and thorium ores (12)	0
BG	Iron ores	0.0834949799654
BG	Copper ores and concentrates	753.370070661
BG	Nickel ores and concentrates	0.364867267741
BG	Aluminium ores and concentrates	2.26235659891
BG	Precious metal ores and concentrates	200.900276361
BG	Lead, zinc and tin ores and concentrates	34.0146952595
BG	Other non-ferrous metal ores and concentrates	28.3120054
BG	Stone	39.6921143806
BG	Sand and clay	299.279830491
BG	Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.	71.0265852131
BG	Products of meat cattle	135.737343465
BG	Products of meat pigs	557.274286567
BG	Products of meat poultry	725.47875534
BG	Meat products nec	724.225968223
BG	products of Vegetable oils and fats	755.19925295
BG	Dairy products	1359.49929034
BG	Processed rice	16.4752053361
BG	Sugar	296.896383581
BG	Food products nec	3211.00738336
BG	Beverages	640.40228403
BG	Fish products	78.6717244371
BG	Tobacco products (16)	952.882330048
BG	Textiles (17)	1932.54191543
BG	Wearing apparel; furs (18)	2308.28139335
BG	Leather and leather products (19)	357.529561683
BG	Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20)	684.187994934
BG	Wood material for treatment, Re-processing of secondary wood material into new wood material	0
BG	Pulp	312.712683565
BG	Secondary paper for treatment, Re-processing of secondary paper into new pulp	0
BG	Paper and paper products	503.356170915
BG	Printed matter and recorded media (22)	910.038427931
BG	Coke Oven Coke	1.59009229009
BG	Gas Coke	0
BG	Coal Tar	6.07343071653
BG	Motor Gasoline	2482.38358953
BG	Aviation Gasoline	0.63126659029
BG	Gasoline Type Jet Fuel	0
BG	Kerosene Type Jet Fuel	39.2882439103
BG	Kerosene	1.59201643349
BG	Gas/Diesel Oil	1483.31339959
BG	Heavy Fuel Oil	590.591833524
BG	Refinery Gas	2.2265667686
BG	Liquefied Petroleum Gases (LPG)	89.8426260585
BG	Refinery Feedstocks	56.7378574956
BG	Ethane	0
BG	Naphtha	140.465732108
BG	White Spirit & SBP	2.35811923787
BG	Lubricants	0
BG	Bitumen	6.9461477786
BG	Paraffin Waxes	0
BG	Petroleum Coke	6.12478564243
BG	Non-specified Petroleum Products	5.15714288128
BG	Nuclear fuel	0
BG	Plastics, basic	56.556086469
BG	Secondary plastic for treatment, Re-processing of secondary plastic into new plastic	0
BG	N-fertiliser	0.125732296367
BG	P- and other fertiliser	278.589469973
BG	Chemicals nec	2587.02760372
BG	Charcoal	29.0165501895
BG	Additives/Blending Components	1.87848232142
BG	Biogasoline	0.00116848516744
BG	Biodiesels	1.93328886562
BG	Other Liquid Biofuels	11.256787954
BG	Rubber and plastic products (25)	1496.45746595
BG	Glass and glass products	296.455155058
BG	Secondary glass for treatment, Re-processing of secondary glass into new glass	0
BG	Ceramic goods	167.482813386
BG	Bricks, tiles and construction products, in baked clay	43.7516511044
BG	Cement, lime and plaster	771.318730917
BG	Ash for treatment, Re-processing of ash into clinker	0
BG	Other non-metallic mineral products	148.424090305
BG	Basic iron and steel and of ferro-alloys and first products thereof	55.9985240756
BG	Secondary steel for treatment, Re-processing of secondary steel into new steel	0
BG	Precious metals	10.0703738418
BG	Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals	0
BG	Aluminium and aluminium products	466.602436639
BG	Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium	0
BG	Lead, zinc and tin and products thereof	696.340909806
BG	Secondary lead for treatment, Re-processing of secondary lead into new lead	0
BG	Copper products	4537.83237011
BG	Secondary copper for treatment, Re-processing of secondary copper into new copper	0
BG	Other non-ferrous metal products	30.1424068558
BG	Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals	0
BG	Foundry work services	135.886863387
BG	Fabricated metal products, except machinery and equipment (28)	1938.52786458
BG	Machinery and equipment n.e.c. (29)	3488.95802587
BG	Office machinery and computers (30)	268.305833492
BG	Electrical machinery and apparatus n.e.c. (31)	1753.62450091
BG	Radio, television and communication equipment and apparatus (32)	359.955085029
BG	Medical, precision and optical instruments, watches and clocks (33)	546.533405304
BG	Motor vehicles, trailers and semi-trailers (34)	307.411447819
BG	Other transport equipment (35)	681.394648412
BG	Furniture; other manufactured goods n.e.c. (36)	1753.97624538
BG	Secondary raw materials	2.23348681802
BG	Bottles for treatment, Recycling of bottles by direct reuse	0
BG	Electricity by coal	914.676232319
BG	Electricity by gas	108.965900368
BG	Electricity by nuclear	652.266931805
BG	Electricity by hydro	145.382234428
BG	Electricity by wind	15.8611908497
BG	Electricity by petroleum and other oil derivatives	10.5284294984
BG	Electricity by biomass and waste	3.10686303062
BG	Electricity by solar photovoltaic	5.71097655662
BG	Electricity by solar thermal	0
BG	Electricity by tide, wave, ocean	0
BG	Electricity by Geothermal	0
BG	Electricity nec	3.70904083032
BG	Transmission services of electricity	503.433271414
BG	Distribution and trade services of electricity	1329.42771354
BG	Coke oven gas	0.0349941063027
BG	Blast Furnace Gas	0.0749859970111
BG	Oxygen Steel Furnace Gas	4.05133370976e-05
BG	Gas Works Gas	5.17259840233e-05
BG	Biogas	1.90062761528
BG	Distribution services of gaseous fuels through mains	344.589025333
BG	Steam and hot water supply services	524.683475611
BG	Collected and purified water, distribution services of water (41)	442.446553688
BG	Construction work (45)	13210.4603853
BG	Secondary construction material for treatment, Re-processing of secondary construction material into aggregates	0
BG	Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries	439.069162682
BG	Retail trade services of motor fuel	54.9193535032
BG	Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)	371.028073696
BG	Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)	1083.76498305
